provincia,delitos_de_mayor_incidencia,fecha,denuncias
SUCUMBIOS,Robo a personas,2020-03-01,18
SUCUMBIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,1
SUCUMBIOS,Robo de motos,2020-03-01,4
SUCUMBIOS,Robo de carros,2020-03-01,1
SUCUMBIOS,Robo a domicilio,2020-03-01,9
SUCUMBIOS,Robo a unidades económicas,2020-03-01,4
ORELLANA,Robo a personas,2020-03-01,6
ORELLANA,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,1
ORELLANA,Robo de motos,2020-03-01,10
ORELLANA,Robo de carros,2020-03-01,0
ORELLANA,Robo a domicilio,2020-03-01,12
ORELLANA,Robo a unidades económicas,2020-03-01,3
SANTO DOMINGO DE LOS TSACHILAS,Robo a personas,2020-03-01,34
SANTO DOMINGO DE LOS TSACHILAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,5
SANTO DOMINGO DE LOS TSACHILAS,Robo de motos,2020-03-01,16
SANTO DOMINGO DE LOS TSACHILAS,Robo de carros,2020-03-01,16
SANTO DOMINGO DE LOS TSACHILAS,Robo a domicilio,2020-03-01,13
SANTO DOMINGO DE LOS TSACHILAS,Robo a unidades económicas,2020-03-01,9
SANTA ELENA,Robo a personas,2020-03-01,33
SANTA ELENA,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,1
SANTA ELENA,Robo de motos,2020-03-01,6
SANTA ELENA,Robo de carros,2020-03-01,0
SANTA ELENA,Robo a domicilio,2020-03-01,18
SANTA ELENA,Robo a unidades económicas,2020-03-01,4
NACIONAL,Robo a personas,2020-03-01,1237
NACIONAL,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,362
NACIONAL,Robo de motos,2020-03-01,406
NACIONAL,Robo de carros,2020-03-01,292
NACIONAL,Robo a domicilio,2020-03-01,459
NACIONAL,Robo a unidades económicas,2020-03-01,271
AZUAY,Robo a personas,2020-04-01,3
AZUAY,"Robo de bienes, accesorios y autopartes de vehículos",2020-04-01,8
AZUAY,Robo de motos,2020-04-01,2
AZUAY,Robo de carros,2020-04-01,1
AZUAY,Robo a domicilio,2020-04-01,3
AZUAY,Robo a unidades económicas,2020-04-01,0
BOLIVAR,Robo a personas,2020-04-01,3
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-04-01,0
BOLIVAR,Robo de motos,2020-04-01,0
BOLIVAR,Robo de carros,2020-04-01,0
BOLIVAR,Robo a domicilio,2020-04-01,1
BOLIVAR,Robo a unidades económicas,2020-04-01,2
CANAR,Robo a personas,2020-04-01,0
CANAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-04-01,0
CANAR,Robo de motos,2020-04-01,4
CANAR,Robo de carros,2020-04-01,0
CANAR,Robo a domicilio,2020-04-01,0
CANAR,Robo a unidades económicas,2020-04-01,0
CARCHI,Robo a personas,2020-04-01,1
CARCHI,"Robo de bienes, accesorios y autopartes de vehículos",2020-04-01,0
CARCHI,Robo de motos,2020-04-01,1
CARCHI,Robo de carros,2020-04-01,0
CARCHI,Robo a domicilio,2020-04-01,2
CARCHI,Robo a unidades económicas,2020-04-01,2
COTOPAXI,Robo a personas,2020-04-01,1
COTOPAXI,"Robo de bienes, accesorios y autopartes de vehículos",2020-04-01,0
COTOPAXI,Robo de motos,2020-04-01,1
COTOPAXI,Robo de carros,2020-04-01,0
COTOPAXI,Robo a domicilio,2020-04-01,3
COTOPAXI,Robo a unidades económicas,2020-04-01,3
CHIMBORAZO,Robo a personas,2020-04-01,3
CHIMBORAZO,"Robo de bienes, accesorios y autopartes de vehículos",2020-04-01,4
CHIMBORAZO,Robo de motos,2020-04-01,3
CHIMBORAZO,Robo de carros,2020-04-01,0
CHIMBORAZO,Robo a domicilio,2020-04-01,3
CHIMBORAZO,Robo a unidades económicas,2020-04-01,5
EL ORO,Robo a personas,2020-04-01,38
EL ORO,"Robo de bienes, accesorios y autopartes de vehículos",2020-04-01,2
EL ORO,Robo de motos,2020-04-01,26
EL ORO,Robo de carros,2020-04-01,5
EL ORO,Robo a domicilio,2020-04-01,10
EL ORO,Robo a unidades económicas,2020-04-01,17
