provincia,cantón,área_de_residencia,número_total_de_hogares,no_pobres,pobre_solo_por_dependencia_económica,pobre_solo_por_no_asistencia_a_clases_de_niños_en_edad_escolar,pobre_solo_por_características_físicas_inadecuadas_de_la_vivienda,pobre_solo_por_no_disponibilidad_de_servicios_básicos_de_la_vivienda,pobre_solo_por_estado_de_hacinamiento_del_hogar,pobre_por_carencia_en_dos_o_más_componentes
LOJA,Zapotillo,Urbana,1170,966.0,46.0,6.0,8.0,54,63.0,27.0
LOJA,Zapotillo,Rural,3500,1047.0,51.0,2.0,202.0,847,91.0,1260.0
LOJA,Pindal,Urbana,783,565.0,8.0,0.0,34.0,43,69.0,64.0
LOJA,Pindal,Rural,2296,305.0,8.0,0.0,15.0,1021,30.0,917.0
LOJA,Quilanga,Urbana,324,265.0,4.0,1.0,6.0,24,14.0,10.0
LOJA,Quilanga,Rural,1027,233.0,16.0,5.0,29.0,425,11.0,308.0
LOJA,Olmedo,Urbana,240,197.0,4.0,2.0,2.0,11,9.0,15.0
LOJA,Olmedo,Rural,1149,326.0,19.0,1.0,23.0,410,39.0,331.0
LOS RIOS,Babahoyo,Urbana,31548,21875.0,492.0,455.0,705.0,2995,2011.0,3015.0
LOS RIOS,Babahoyo,Rural,26206,5795.0,252.0,74.0,157.0,12879,531.0,6518.0
LOS RIOS,Baba,Urbana,2088,1288.0,52.0,10.0,62.0,291,151.0,234.0
LOS RIOS,Baba,Rural,12621,2056.0,142.0,11.0,65.0,5987,157.0,4203.0
LOS RIOS,Montalvo,Urbana,5193,3416.0,132.0,20.0,29.0,1095,172.0,329.0
LOS RIOS,Montalvo,Rural,4012,1102.0,40.0,1.0,14.0,2165,29.0,661.0
LOS RIOS,Puebloviejo,Urbana,3026,1790.0,77.0,18.0,46.0,483,219.0,393.0
LOS RIOS,Puebloviejo,Rural,9783,3128.0,159.0,30.0,94.0,3725,387.0,2260.0
LOS RIOS,Quevedo,Urbana,54873,31637.0,891.0,666.0,193.0,13187,2737.0,5562.0
LOS RIOS,Quevedo,Rural,8845,1962.0,120.0,38.0,46.0,4483,182.0,2014.0
LOS RIOS,Urdaneta,Urbana,2222,1017.0,35.0,2.0,10.0,724,87.0,347.0
LOS RIOS,Urdaneta,Rural,8435,1590.0,64.0,14.0,41.0,4678,180.0,1868.0
LOS RIOS,Ventanas,Urbana,13047,7643.0,336.0,78.0,126.0,2330,1061.0,1473.0
LOS RIOS,Ventanas,Rural,10332,1114.0,65.0,10.0,35.0,6482,116.0,2510.0
LOS RIOS,Vinces,Urbana,10890,7260.0,332.0,85.0,114.0,1440,728.0,931.0
LOS RIOS,Vinces,Rural,14563,1241.0,81.0,5.0,36.0,8034,109.0,5057.0
LOS RIOS,Palenque,Urbana,2237,1159.0,95.0,6.0,33.0,357,182.0,405.0
LOS RIOS,Palenque,Rural,5571,266.0,18.0,6.0,17.0,2251,30.0,2983.0
LOS RIOS,Buena Fe,Urbana,13745,8945.0,557.0,101.0,127.0,1418,1291.0,1306.0
LOS RIOS,Buena Fe,Rural,8208,2645.0,158.0,39.0,57.0,3219,360.0,1730.0
LOS RIOS,Valencia,Urbana,6839,2064.0,78.0,36.0,27.0,3316,183.0,1135.0
LOS RIOS,Valencia,Rural,8465,800.0,50.0,15.0,24.0,5183,83.0,2310.0
LOS RIOS,Mocache,Urbana,2850,1928.0,124.0,10.0,20.0,325,212.0,231.0
LOS RIOS,Mocache,Rural,10400,1582.0,101.0,20.0,51.0,5840,97.0,2709.0
LOS RIOS,Quinsaloma,Urbana,1970,1426.0,85.0,24.0,23.0,188,93.0,131.0
LOS RIOS,Quinsaloma,Rural,4202,356.0,40.0,12.0,10.0,2933,17.0,834.0
MANABI,Portoviejo,Urbana,73227,52550.0,1332.0,406.0,1814.0,7773,2492.0,6860.0
MANABI,Portoviejo,Rural,23386,2915.0,109.0,18.0,219.0,12380,106.0,7639.0
MANABI,Bolívar,Urbana,6114,2363.0,102.0,18.0,78.0,2621,117.0,815.0
MANABI,Bolívar,Rural,6728,607.0,30.0,4.0,100.0,3097,34.0,2856.0
MANABI,Chone,Urbana,17130,10972.0,363.0,97.0,252.0,3185,697.0,1564.0
MANABI,Chone,Rural,23876,2025.0,94.0,9.0,294.0,12416,101.0,8937.0
MANABI,El Carmen,Urbana,15571,8707.0,377.0,62.0,151.0,3805,604.0,1865.0
