provincia,cantón,área_de_residencia,asiste_actualmente_a_la_educación_regular_o_formal?,numero_total_de_personas,ninguno,centro_de_desarrollo_infantil/creciendo_con_nuestros_hijos/guardería,número_total_de_personas_que_asisten_o_asistieron_a_educación_inicial,número_total_de_personas_que_asisten_o_asistieron_a_alfabetización,número_total_de_personas_que_asisten_o_asistieron_a_educación_general_básica,número_total_de_personas_que_asisten_o_asistieron_a_bachillerato,número_total_de_personas_que_asisten_o_asistieron_a_ciclo_postbachillerato,número_total_de_personas_que_asisten_o_asistieron_a_educación_técnica_o_tecnológica,número_total_de_personas_que_asisten_o_asistieron_a_educación_superior,número_total_de_personas_que_asisten_o_asistieron_a_maestría/posgrado,número_total_de_personas_que_asisten_o_asistieron_a_phd/doctorado
COTOPAXI,La Maná,Rural,Asiste,7224,0.0,290.0,250.0,3.0,4226,1451,19.0,112.0,862.0,10.0,1.0
COTOPAXI,La Maná,Rural,No asiste,14829,2431.0,81.0,56.0,154.0,6504,4282,17.0,167.0,1036.0,96.0,5.0
COTOPAXI,Pangua,Urbana,Asiste,554,0.0,14.0,24.0,0.0,286,125,0.0,2.0,103.0,0.0,0.0
COTOPAXI,Pangua,Urbana,No asiste,1318,163.0,12.0,1.0,4.0,359,428,12.0,26.0,265.0,48.0,0.0
COTOPAXI,Pangua,Rural,Asiste,5793,0.0,253.0,193.0,4.0,3403,1396,17.0,53.0,472.0,2.0,0.0
COTOPAXI,Pangua,Rural,No asiste,14202,2540.0,52.0,41.0,135.0,6548,4065,18.0,86.0,656.0,59.0,2.0
COTOPAXI,Pujilí,Urbana,Asiste,5551,0.0,114.0,276.0,1.0,2780,983,32.0,93.0,1255.0,17.0,0.0
COTOPAXI,Pujilí,Urbana,No asiste,10601,1104.0,34.0,48.0,52.0,2278,3162,170.0,445.0,2775.0,500.0,33.0
COTOPAXI,Pujilí,Rural,Asiste,16591,0.0,454.0,561.0,28.0,9653,3665,68.0,263.0,1888.0,11.0,0.0
COTOPAXI,Pujilí,Rural,No asiste,34237,9280.0,146.0,106.0,777.0,12079,8909,53.0,563.0,2064.0,255.0,5.0
COTOPAXI,Salcedo,Urbana,Asiste,5351,0.0,94.0,274.0,3.0,2703,849,24.0,117.0,1274.0,12.0,1.0
COTOPAXI,Salcedo,Urbana,No asiste,11400,991.0,23.0,21.0,17.0,2870,3533,54.0,493.0,2865.0,506.0,27.0
COTOPAXI,Salcedo,Rural,Asiste,15645,0.0,699.0,792.0,4.0,8517,2948,112.0,364.0,2197.0,12.0,0.0
COTOPAXI,Salcedo,Rural,No asiste,35097,4575.0,161.0,93.0,585.0,16672,8797,92.0,884.0,2862.0,352.0,24.0
COTOPAXI,Saquisilí,Urbana,Asiste,3350,0.0,79.0,141.0,1.0,1766,609,5.0,67.0,675.0,7.0,0.0
COTOPAXI,Saquisilí,Urbana,No asiste,6533,805.0,13.0,13.0,34.0,1808,2204,22.0,234.0,1223.0,168.0,9.0
COTOPAXI,Saquisilí,Rural,Asiste,4686,0.0,239.0,172.0,1.0,2675,957,10.0,73.0,557.0,2.0,0.0
COTOPAXI,Saquisilí,Rural,No asiste,9787,1987.0,36.0,17.0,401.0,3920,2670,7.0,174.0,526.0,48.0,1.0
COTOPAXI,Sigchos,Urbana,Asiste,1032,0.0,25.0,40.0,0.0,575,186,16.0,31.0,159.0,0.0,0.0
COTOPAXI,Sigchos,Urbana,No asiste,1784,299.0,3.0,2.0,15.0,600,513,4.0,66.0,238.0,41.0,3.0
COTOPAXI,Sigchos,Rural,Asiste,5209,0.0,128.0,107.0,3.0,3242,1214,12.0,64.0,434.0,4.0,1.0
COTOPAXI,Sigchos,Rural,No asiste,10435,3053.0,55.0,53.0,219.0,4252,2393,9.0,68.0,295.0,37.0,1.0
CHIMBORAZO,Riobamba,Urbana,Asiste,62905,0.0,1181.0,3356.0,13.0,26781,9483,240.0,1903.0,19729.0,202.0,17.0
CHIMBORAZO,Riobamba,Urbana,No asiste,114308,7880.0,176.0,181.0,161.0,22117,32700,772.0,6195.0,33531.0,9658.0,937.0
CHIMBORAZO,Riobamba,Rural,Asiste,27843,0.0,1167.0,1621.0,16.0,14305,5288,146.0,1031.0,4243.0,24.0,2.0
CHIMBORAZO,Riobamba,Rural,No asiste,55826,9894.0,195.0,228.0,1489.0,21641,14225,160.0,1962.0,5116.0,850.0,66.0
CHIMBORAZO,Alausí,Urbana,Asiste,2063,0.0,69.0,130.0,2.0,1085,423,15.0,86.0,249.0,4.0,0.0
CHIMBORAZO,Alausí,Urbana,No asiste,4008,518.0,17.0,6.0,12.0,1033,1311,13.0,222.0,748.0,125.0,3.0
CHIMBORAZO,Alausí,Rural,Asiste,10337,0.0,471.0,659.0,7.0,6599,1965,25.0,123.0,484.0,4.0,0.0
CHIMBORAZO,Alausí,Rural,No asiste,20867,5864.0,118.0,114.0,636.0,8712,4730,11.0,191.0,437.0,50.0,4.0
CHIMBORAZO,Colta,Urbana,Asiste,938,0.0,24.0,65.0,0.0,496,145,3.0,22.0,180.0,3.0,0.0
CHIMBORAZO,Colta,Urbana,No asiste,1847,186.0,2.0,4.0,14.0,568,500,11.0,93.0,411.0,55.0,3.0
CHIMBORAZO,Colta,Rural,Asiste,7320,0.0,298.0,422.0,13.0,4009,1570,26.0,166.0,810.0,5.0,1.0
CHIMBORAZO,Colta,Rural,No asiste,20363,5713.0,57.0,138.0,1127.0,7649,4218,16.0,389.0,976.0,73.0,7.0
CHIMBORAZO,Chambo,Urbana,Asiste,1894,0.0,85.0,128.0,0.0,899,288,5.0,93.0,389.0,6.0,1.0
