provincia,cantón,fecha,homicidios
EL ORO,Santa Rosa,2020-03-01,2
EL ORO,Zaruma,2020-03-01,0
EL ORO,Las Lajas,2020-03-01,0
ESMERALDAS,Esmeraldas,2020-03-01,1
ESMERALDAS,Eloy Alfaro,2020-03-01,0
ESMERALDAS,Muisne,2020-03-01,0
ESMERALDAS,Quininde,2020-03-01,0
ESMERALDAS,San Lorenzo,2020-03-01,0
ESMERALDAS,Atacames,2020-03-01,1
ESMERALDAS,Rioverde,2020-03-01,0
GUAYAS,Guayaquil,2020-03-01,18
GUAYAS,Alfredo Baquerizo Moreno (Jujan),2020-03-01,0
GUAYAS,Balao,2020-03-01,1
GUAYAS,Balzar,2020-03-01,0
GUAYAS,Colimes,2020-03-01,0
GUAYAS,Daule,2020-03-01,0
GUAYAS,Duran,2020-03-01,3
GUAYAS,El Empalme,2020-03-01,3
GUAYAS,El Triunfo,2020-03-01,0
GUAYAS,Milagro,2020-03-01,4
GUAYAS,Naranjal,2020-03-01,0
GUAYAS,Naranjito,2020-03-01,0
GUAYAS,Palestina,2020-03-01,0
GUAYAS,Pedro Carbo,2020-03-01,0
GUAYAS,Samborondon,2020-03-01,0
GUAYAS,Santa Lucia,2020-03-01,0
GUAYAS,Salitre (Urbina Jado),2020-03-01,0
GUAYAS,San Jacinto De Yaguachi,2020-03-01,0
GUAYAS,Playas,2020-03-01,0
GUAYAS,Simon Bolivar,2020-03-01,0
GUAYAS,Coronel Marcelino Maridueña,2020-03-01,0
GUAYAS,Lomas De Sargentillo,2020-03-01,0
GUAYAS,Nobol,2020-03-01,0
GUAYAS,Gral Antonio Elizalde,2020-03-01,0
GUAYAS,Isidro Ayora,2020-03-01,0
IMBABURA,Ibarra,2020-03-01,0
IMBABURA,Antonio Ante,2020-03-01,0
IMBABURA,Cotacachi,2020-03-01,0
IMBABURA,Otavalo,2020-03-01,0
IMBABURA,Pimampiro,2020-03-01,0
IMBABURA,San Miguel De Urcuqui,2020-03-01,0
LOJA,Loja,2020-03-01,0
LOJA,Calvas,2020-03-01,0
LOJA,Catamayo,2020-03-01,0
LOJA,Celica,2020-03-01,0
LOJA,Chaguarpamba,2020-03-01,0
LOJA,Espindola,2020-03-01,0
LOJA,Gonzanama,2020-03-01,0
LOJA,Macara,2020-03-01,0
LOJA,Paltas,2020-03-01,0
LOJA,Puyango,2020-03-01,0
LOJA,Saraguro,2020-03-01,0
LOJA,Sozoranga,2020-03-01,0
LOJA,Zapotillo,2020-03-01,0
LOJA,Pindal,2020-03-01,0
LOJA,Quilanga,2020-03-01,0
LOJA,Olmedo,2020-03-01,0
LOS RIOS,Babahoyo,2020-03-01,1
LOS RIOS,Baba,2020-03-01,0
LOS RIOS,Montalvo,2020-03-01,0
LOS RIOS,Puebloviejo,2020-03-01,2
LOS RIOS,Quevedo,2020-03-01,2
LOS RIOS,Urdaneta,2020-03-01,2
LOS RIOS,Ventanas,2020-03-01,1
LOS RIOS,Vinces,2020-03-01,0
LOS RIOS,Palenque,2020-03-01,0
LOS RIOS,Buena Fe,2020-03-01,0
LOS RIOS,Valencia,2020-03-01,0
LOS RIOS,Mocache,2020-03-01,0
LOS RIOS,Quinsaloma,2020-03-01,0
MANABI,Portoviejo,2020-03-01,0
MANABI,Bolivar,2020-03-01,0
MANABI,Chone,2020-03-01,1
MANABI,El Carmen,2020-03-01,0
MANABI,Flavio Alfaro,2020-03-01,1
MANABI,Jipijapa,2020-03-01,0
MANABI,Junin,2020-03-01,0
MANABI,Manta,2020-03-01,0
MANABI,Montecristi,2020-03-01,0
MANABI,Pajan,2020-03-01,0
MANABI,Pichincha,2020-03-01,0
MANABI,Rocafuerte,2020-03-01,0
MANABI,Santa Ana,2020-03-01,0
MANABI,Sucre,2020-03-01,0
MANABI,Tosagua,2020-03-01,0
MANABI,24 De Mayo,2020-03-01,0
MANABI,Pedernales,2020-03-01,1
MANABI,Olmedo,2020-03-01,0
MANABI,Puerto Lopez,2020-03-01,0
MANABI,Jama,2020-03-01,0
MANABI,Jaramijo,2020-03-01,1
MANABI,San Vicente,2020-03-01,1
MORONA SANTIAGO,Morona,2020-03-01,0
MORONA SANTIAGO,Gualaquiza,2020-03-01,0
MORONA SANTIAGO,Limon Indanza,2020-03-01,0
MORONA SANTIAGO,Palora,2020-03-01,0
